,count,mean,std,min,25%,50%,75%,max,Skewness,Kurtosis
Unnamed: 0,19999.0,9999.0,5691.8863,999.9,4999.5,9999.0,14998.5,18998.1,-0.0,-1.2501
id,19999.0,4570987805.9079,2827490415.2524,519962133.1,2123049158.5,3905080310.0,7300300305.0,9287801547.5,0.2519,-1.2983
price,19999.0,510468.0333,250145.3619,209950.0,317000.0,449950.0,640000.0,1150000.0,1.0232,0.366
bedrooms,19986.0,3.3536,0.8248,2.0,3.0,3.0,4.0,5.0,0.2057,-0.4686
bathrooms,19989.0,2.0557,0.7082,1.0,1.5,2.0,2.5,3.5,0.0546,-0.7173
sqft_living,19999.0,2025.1145,774.4644,920.0,1420.0,1900.0,2510.0,3720.0,0.5854,-0.4918
sqft_total,19999.0,11011.7709,10129.6106,2589.0,5350.0,7819.0,11000.0,44000.1,2.2775,4.3934
floors,19999.0,1.4223,0.4693,1.0,1.0,1.0,2.0,2.0,0.3132,-1.7917
view,19999.0,0.1868,0.5682,0.0,0.0,0.0,0.0,2.0,2.7927,5.9446
condition,19999.0,3.4534,0.6464,3.0,3.0,3.0,4.0,5.0,1.1179,0.084
grade,19999.0,7.5933,1.0627,6.0,7.0,7.0,8.0,10.0,0.6515,-0.1227
built,19999.0,1968.0894,27.3208,1914.0,1950.0,1969.0,1991.0,2006.0,-0.3957,-0.8372
living_area,19999.0,1955.8999,598.1121,1140.0,1490.0,1830.0,2338.0,3270.0,0.659,-0.4776
